Elapsed time,192.168.70.130 CPU,192.168.70.130 Disks I/O,192.168.70.130 Memory,192.168.70.130 Network I/O
28:36.0,98,-0.974,85.327,0
28:37.0,100,-0.974,85.327,0
28:38.0,100,-0.913,85.445,55078
28:39.0,100,-0.982,85.526,29350
28:40.0,100,-0.91,85.562,35314
28:41.0,99.009,-0.974,85.598,39546
28:42.0,100,-0.955,85.732,49014
28:43.0,100,-0.952,85.631,47110
28:44.0,99.009,-0.982,85.642,46906
33:05.0,4.96,-0.989,84.441,0
33:06.0,100,-0.885,84.564,48602
33:07.0,100,-0.918,84.795,55784
33:08.0,99.009,-0.927,84.798,40566
33:09.0,100,-0.937,84.888,50772
33:10.0,100,-0.956,85.047,47348
33:11.0,100,-0.963,84.978,40518
33:12.0,100,-0.986,84.99,42944
33:13.0,100,-0.961,85.093,40247
33:14.0,99.009,-0.987,84.994,40040
33:15.0,100,-0.981,85.117,46089
33:16.0,100,-0.96,85.244,40635
33:17.0,100,-0.924,85.016,43987
33:18.0,100,-0.963,85.023,49504
33:19.0,100,-0.972,85.139,45306
33:20.0,100,-0.961,85.027,40516
33:21.0,100,-0.956,85.104,47004
33:22.0,99.009,-0.975,85.196,41360
33:23.0,100,-0.949,85.089,50498
33:24.0,100,-0.975,85.11,43084
33:25.0,100,-0.969,85.219,46210
33:26.0,99,-0.982,85.113,45986
33:27.0,100,-0.963,85.123,47388
33:28.0,100,-0.975,85.281,42562
33:29.0,100,-0.98,85.186,48852
33:30.0,99.009,-0.931,85.189,43202
33:31.0,100,-0.913,85.201,47874
33:32.0,100,-0.984,85.111,39794
33:33.0,100,-0.964,85.181,46840
33:34.0,99.009,-0.982,85.551,44477
33:35.0,100,-0.967,85.358,51813
33:36.0,100,-0.974,85.325,46432
33:37.0,100,-0.966,85.433,53070
33:38.0,99.009,-0.963,85.348,44854
33:39.0,100,-0.984,85.348,53838
33:40.0,100,-0.942,85.507,45396
33:41.0,100,-0.987,85.392,47662
33:42.0,100,-0.97,85.404,45584
33:43.0,99.009,-0.98,85.492,43832
33:44.0,100,-0.965,85.404,51688
33:45.0,100,-0.981,85.395,44792
33:46.0,100,-0.933,85.38,51663
33:47.0,100,-0.979,85.419,46207
33:48.0,99,-0.969,85.42,44748
33:49.0,100,-0.986,85.409,49580
33:50.0,100,-0.978,85.354,52140
33:51.0,100,-0.984,85.354,43410
33:52.0,100,-0.963,85.356,58528
33:53.0,99.009,-0.967,85.38,41202
33:54.0,100,-0.981,85.328,46992
33:55.0,100,-0.931,85.373,45630
33:56.0,99,-0.96,85.437,53418
33:57.0,100,-0.978,85.405,39132
33:58.0,100,-0.975,85.416,43925
33:59.0,100,-0.967,85.404,53466
34:00.0,99.009,-0.98,85.431,41711
34:01.0,100,-0.974,85.419,38804
34:02.0,97.959,-0.529,85.356,48340
34:03.0,100,-0.959,85.335,51494
,98.3385,-0.956705882,85.26441176,43965.55882
